Token,Address
BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53
DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F
USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7
RETH,0xae78736Cd615f374D3085123A210448E74Fc6393
WSTETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
cbETH,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704
WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
MATIC,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
